,sum,mean,std,zero,e1,e2,e3,e4,er1,er2,er3,er4,max,min
10019354,169937.40000000008,465.5819178082194,312.40833486658784,0,66958.79999999996,63592.799999999996,37438.200000000004,1947.5999999999997,0.3940203863304954,0.3742130925858579,0.22030583026455616,0.011460690819089845,1094.4,6.0
10019355,23881.688699999995,65.42928410958903,40.64055877039276,0,8099.578999999996,10207.1504,3359.200000000002,2136.512499999999,0.3391543664163078,0.427404884479547,0.14066006982161203,0.08946237122670472,237.2,7.2
10019356,656466.5999999995,1798.538630136985,454.1481183119118,0,169906.19999999987,216049.8000000001,52959.60000000002,217550.99999999977,0.25881926056862603,0.3291101177120059,0.08067371592096241,0.3313969057984061,2985.0,881.4
10019364,101004.60000000005,276.72493150684943,162.13915322518636,0,29671.80000000001,38451.00000000006,12859.200000000004,20022.599999999995,0.2937668185409377,0.3806856321395267,0.12731301346671337,0.19823453585282239,904.8,39.0
10025,1706967.3146000002,4676.622779726028,2333.556032421169,1,558021.8920000003,668157.7107999998,206412.4136,274375.59870000003,0.32690836387266364,0.3914297040635319,0.12092347160634963,0.16073863650066167,10479.6848,0.0
10033568,180512.00000000055,494.55342465753574,350.569366904171,6,54552.000000000095,64264.00000000003,19835.999999999978,41860.00000000006,0.3022070554866155,0.3560095727707844,0.10988743130650548,0.2318959404360925,1265.6,0.0
10033576,387753.63670000044,1062.3387306849327,429.36156664226996,1,74809.42149999995,115043.44820000003,90521.52659999994,107379.24060000003,0.19293028980119908,0.29669211919992267,0.233451135030966,0.27692645648370245,2197.8,0.0
10033578,210250.1999999997,576.0279452054787,321.69801617747737,0,69460.19999999997,84038.40000000005,26770.19999999999,29981.39999999997,0.33036924578430876,0.3997066352374465,0.12732544368566606,0.14259867529258005,1441.2,51.6
10033580,112831.19999999994,309.12657534246557,237.7223144129152,0,38251.79999999999,47811.00000000001,22382.400000000005,4385.999999999997,0.3390179312105163,0.4237391785250891,0.19837066343351853,0.038872226830876565,864.6,6.6
10033582,226721.5232,621.1548580821918,476.59404076666976,0,54340.80159999998,73398.20779999999,30036.930299999985,68945.5833,0.23968082444499023,0.32373727365642535,0.13248380601917192,0.30409809499727286,2715.0,113.4
10033583,161878.1567999999,443.50179945205457,371.36189589735955,0,59896.87660000001,68804.5076,28088.056499999995,5088.7161,0.37001209912466737,0.4250388623154871,0.17351356758220768,0.03143547097763843,1963.2,5.4
10033584,46191.0,126.55068493150685,65.03298724089669,0,15474.00000000001,18285.60000000001,8023.2,4408.199999999999,0.33500032473858565,0.39586932519321966,0.17369617457946354,0.09543417548873155,452.4,9.0
10033585,2974.800000000002,8.150136986301375,4.564342355151429,0,926.3999999999988,1129.7999999999988,195.59999999999957,723.0000000000019,0.31141589350544513,0.3797902379991926,0.06575231948366257,0.24304154901169875,26.4,3.0
10033586,227267.39999999988,622.6504109589038,289.8286217391689,0,81283.20000000006,88502.40000000004,33740.399999999994,23741.400000000005,0.357654463420623,0.38941968799748705,0.14846123993146404,0.10446460865042684,1007.4,16.2
10033588,411093.6000000001,1126.2838356164386,442.82927611828643,0,164502.60000000012,176118.60000000003,55865.4,14607.0,0.4001585040487132,0.4284148427511399,0.13589459918617072,0.03553205401397637,1959.6,55.8
10033589,84009.60849999994,230.16331095890396,108.453789439555,1,24994.303699999982,39623.9918,13321.007500000002,6070.3054,0.2975172024519076,0.47166023634070414,0.1585652848269137,0.072257275190135,944.8480000000001,0.0
10033594,215339.40000000002,589.9709589041097,259.11281036443785,0,94824.59999999998,73316.40000000008,42225.6,4972.800000000001,0.4403495133728429,0.3404690456089321,0.1960885931696661,0.023092847848559066,1666.2,20.4
10033599,375692.2904,1029.29394630137,275.5587456283986,0,135588.59999999986,134082.9123,35919.2363,70101.5419,0.36090333356491966,0.3568955651372078,0.09560812723028399,0.18659297433376343,1961.4,215.4
10057015,200430.40000000017,549.1243835616443,136.04623641347112,0,57750.8,74158.80000000002,19709.199999999993,48811.59999999996,0.2881339357702222,0.36999776481012836,0.09833438440476083,0.24353391501488758,842.0,325.6
10089959,45395.999999999985,124.37260273972599,76.06286089654778,0,13136.399999999994,19837.200000000023,8915.399999999996,3506.9999999999973,0.28937351308485326,0.43698123182659326,0.19639175257731956,0.07725350251123443,377.4,16.2
10089961,216699.19999999992,593.6964383561642,129.9661744388472,0,59842.40000000004,81435.59999999993,19273.6,56147.60000000001,0.27615422668842365,0.3758001875410706,0.08894172198143789,0.25910386378906813,1012.8,256.8
10089963,77450.40000000001,212.1928767123288,344.86147410626455,0,24736.20000000001,30814.799999999996,10554.000000000002,11345.400000000003,0.31938117814756295,0.3978649561525827,0.1362678565895076,0.1464860091103468,1522.2,15.0
10089964,174927.35569999975,479.2530293150678,448.4934379835132,114,47592.31099999999,74897.70409999993,29813.201300000015,22623.33869999999,0.27206900149808905,0.4281646161075539,0.17043189831972094,0.1293299073176353,1451.6,0.0
10089966,3315.5999999999976,9.08383561643835,6.423350823135828,0,1086.600000000001,1060.2000000000003,406.2000000000009,762.6000000000004,0.3277234889612745,0.3197611292073836,0.12251176257690952,0.23000361925443386,34.8,2.4
10089969,174697.20000000013,478.622465753425,131.0043772419101,0,50849.20000000002,63663.600000000006,17986.800000000003,42197.600000000035,0.29107049225746023,0.3644225551411239,0.10295986426800195,0.24154708833341348,786.8,312.8
10089970,130159.19999999997,356.6005479452054,199.11251140373162,0,45128.79999999999,56147.99999999996,19250.399999999998,9632.0,0.3467200167179884,0.4313794184352699,0.14789888075525973,0.07400168409148183,776.8,48.8
